tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Peaky Blinders,1,1,Episode #1.1,"Sep 30, 2014",8.1,9470,Thomas Shelby plans to fix a horse race; some guns turn up stolen.,tt2442560
Peaky Blinders,1,2,Episode #1.2,"Sep 30, 2014",8.3,8005,Thomas Shelby starts a feud with a gypsy family and finally meets with Inspector Campbell to talk about the stolen guns.,tt2442560
Peaky Blinders,1,3,Episode #1.3,"Sep 30, 2014",8.3,7482,Thomas is livid to find out that Ada and Freddie are married; IRA sympathizers tries to get information from Thomas about the stolen guns.,tt2442560
Peaky Blinders,1,4,Episode #1.4,"Sep 30, 2014",8.6,7341,Thomas attempts to make a deal with Campbell; The Peaky's war with the Lees intensifies.,tt2442560
Peaky Blinders,1,5,Episode #1.5,"Sep 30, 2014",8.9,7761,The Shelbys get a surprise visit by an almost forgotten relative. Thomas has one more dangerous plan with the cops.,tt2442560
Peaky Blinders,1,6,Episode #1.6,"Sep 30, 2014",9.2,8545,"Tommy and the Peaky Blinders prepare for a big operation, that quickly becomes way trickier than they thought.",tt2442560
Peaky Blinders,2,1,Episode #2.1,"Oct 2, 2014",8.5,6682,"When Birmingham crime boss Tommy Shelby's beloved Garrison pub is bombed, he finds himself blackmailed into murdering an Irish dissident.",tt2442560
Peaky Blinders,2,2,Episode #2.2,"Oct 9, 2014",8.4,6174,"After murdering an Irish dissident, Tommy has no choice but to be a pawn in Inspector Campbell's treacherous political game.",tt2442560
Peaky Blinders,2,3,Episode #2.3,"Oct 16, 2014",8.7,6045,"After joining London crime boss Alfie Solomons in a business venture, Tommy worries that Alfie's newly revealed volatility could pose a problem.",tt2442560
Peaky Blinders,2,4,Episode #2.4,"Oct 23, 2014",8.5,5928,The Peaky Blinders take over London's Eden Club; Sabini convinces his old adversary Alfie Solomons to join forces and eradicate the gang.,tt2442560
Peaky Blinders,2,5,Episode #2.5,"Oct 30, 2014",8.8,6052,"The Peaky Blinders are under attack. Tommy's power base in London is obliterated, and both Arthur and Michael are arrested and imprisoned.",tt2442560
Peaky Blinders,2,6,Episode #2.6,"Nov 6, 2014",9.6,10169,Tommy plans to execute the mission given to him by Campbell: the assassination of a high-ranking member of the military establishment.,tt2442560
Peaky Blinders,3,1,Episode #3.1,"May 31, 2016",8.3,6073,"It is Thomas Shelby's long-awaited wedding day. A mysterious visitor imperils the entire Shelby family, and Tommy finds himself pulled into a web of intrigue more lethal than anything he has yet encountered.",tt2442560
Peaky Blinders,3,2,Episode #3.2,"May 31, 2016",8.9,6081,Tommy discovers the extent of the mission given to him and the extreme lengths his new paymasters are willing to go to in their quest for power. Meanwhile his own family's activities lead to escalating danger in Birmingham.,tt2442560
Peaky Blinders,3,3,Episode #3.3,"May 31, 2016",8.7,5555,Tommy travels to Wales seeking absolution and uncovers a traitor in the Economic League. Michael develops a taste for guns. Arthur gets good news.,tt2442560
Peaky Blinders,3,4,Episode #3.4,"May 31, 2016",8.8,5593,"Polly goes to confession, igniting a chain of events that reveals a trap being laid at the Shelbys' expense. Tommy plans an exit from dirty business.",tt2442560
Peaky Blinders,3,5,Episode #3.5,"May 31, 2016",8.5,5398,"As the Russians test the Peaky Blinders, Tommy realises that he is seriously outmaneuvered. But he has an ace up his sleeve.",tt2442560
Peaky Blinders,3,6,Episode #3.6,"May 31, 2016",9.6,9034,"As Tommy prepares to commit the most audacious crime of his career, an unexpected blow forces him to face his worst fears in a race against time.",tt2442560
Peaky Blinders,4,1,The Noose,"Dec 21, 2017",9.5,9115,It is Christmas and Tommy Shelby receives a letter that makes him realize that he and every member of the family are in danger. He knows that it is time for the family to bury their differences and face the enemy together.,tt2442560
Peaky Blinders,4,2,Heathens,"Dec 21, 2017",9.2,6854,"As the Shelbys come to terms with shocking events, Tommy makes a decision he may come to regret. Meanwhile, a bold new enemy makes his move.",tt2442560
Peaky Blinders,4,3,Blackbird,"Dec 21, 2017",8.6,5781,"Luca Changretta understands the complexity of his enemy, as the weight of gypsy tradition hangs upon Arthur. But could there be a traitor within the Peaky Blinders' midst?",tt2442560
Peaky Blinders,4,4,Dangerous,"Dec 21, 2017",8.7,5629,"In a daring cat and mouse chase, will Tommy be outwitted by his enemies? And with the return of an old friend, Tommy tries to distract himself with other pursuits.",tt2442560
Peaky Blinders,4,5,The Duel,"Dec 21, 2017",8.9,5855,Tommy prepares himself as the bloody battle lines are drawn between the Peaky Blinders and Changretta. A deal is struck - with potentially devastating consequences.,tt2442560
Peaky Blinders,4,6,The Company,"Dec 21, 2017",9.5,9113,"During the fight between Goliath and Bonnie Gold events escalate. Then Audrey Changretta appears at a funeral, waving a white flag. She proposes to declare the Vendetta between her family and the Shelbys settled. And she names her price.",tt2442560
Peaky Blinders,5,1,Black Tuesday,"Oct 4, 2019",8.5,6776,"In the wake of the Wall Street Crash, Tommy faces new dangers from unexpected quarters.",tt2442560
Peaky Blinders,5,2,Black Cats,"Oct 4, 2019",8.9,6225,"As the Peaky Blinders come under fire, Tommy is warned about a traitor in his midst.",tt2442560
Peaky Blinders,5,3,Strategy,"Oct 4, 2019",8.6,5296,"As the charismatic Mosley shows his hand, Tommy makes a treacherous new alliance.",tt2442560
Peaky Blinders,5,4,The Loop,"Oct 4, 2019",9.0,5592,"Tommy agrees to dangerous new partnerships, and a Shelby party promises fireworks.",tt2442560
Peaky Blinders,5,5,The Shock,"Oct 4, 2019",8.7,4870,"As Tommy reveals his intentions for Mosley, someone close to the Shelbys is targeted.",tt2442560
Peaky Blinders,5,6,Mr. Jones,"Oct 4, 2019",9.4,7466,"Family tensions surface after an unexpected announcement. Tommy puts his plan for Oswald Mosley into action, but has he underestimated his opponent?",tt2442560
Peaky Blinders,6,1,Black Day,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt2442560
